;;;;;;;;;;;;;;;;;;;;;
;#;Player;Team;TS%;eFG%;Total S %;ORB%;DRB%;TRB%;AST%;TOV%;STL%;BLK%;USG%;PPR;PPS;ORtg;DRtg;eDiff;FIC;PER
;69.;Travante Williams;LEM;.574;.523;165.2;9.4;17.7;13.4;13.4;18.4;4.2;1.2;19.2;-1.9;1.3;113.3;110.5;2.7;163.0;16.0
;70.;Ivan Fevrier;PORT;.579;.544;159.1;5.7;17.9;11.8;16.4;16.1;1.2;0.8;26.9;-4.4;1.3;102.9;121.7;-18.8;164.6;15.9
;71.;Leon Stergar;CSP;.618;.555;168.4;4.5;12.5;8.7;23.3;18.3;2.0;0.8;23.0;-0.1;1.5;113.6;119.0;-5.4;131.3;15.9
;72.;Donta Scott;N92;.594;.575;153.7;8.9;15.1;12.0;6.7;9.3;1.1;1.2;19.6;-1.4;1.3;123.4;110.2;13.2;178.0;15.9
;73.;Mbaye N'Diaye;LYV;.583;.553;142.4;10.5;20.5;15.7;9.3;17.2;1.9;4.2;15.9;-2.1;1.4;113.9;106.3;7.6;184.5;15.8
;74.;Tariq Owens;DIJ;.626;.596;168.1;8.0;20.5;14.3;4.5;16.0;1.5;7.0;20.0;-5.0;1.4;109.6;114.3;-4.7;175.1;15.8
;75.;Roko Prkacin;N92;.586;.552;123.6;17.7;17.5;17.6;8.5;16.9;2.7;0.3;16.2;-2.6;1.4;119.2;105.7;13.5;121.3;15.7
;76.;Paul Lacombe;N92;.566;.496;158.0;4.4;15.4;9.8;28.7;19.4;3.0;1.2;18.2;4.8;1.3;118.9;105.8;13.0;168.6;15.7
;77.;Alpha Diallo;ASM;.559;.523;149.2;5.8;17.8;12.3;17.5;13.3;1.8;2.0;20.0;1.7;1.3;112.5;108.1;4.4;143.3;15.6
;78.;Jordan Barnett;DIJ;.622;.591;170.7;7.1;17.5;12.4;9.8;11.8;2.1;1.5;17.6;-0.4;1.4;118.8;116.0;2.8;209.4;15.5
;79.;Darius McGhee;JLB;.521;.482;153.3;3.3;11.8;7.6;34.3;15.1;2.3;0.2;24.3;5.0;1.1;111.1;112.0;-0.9;188.6;15.4
;80.;Mohamed Diarra;CHO;.551;.503;139.6;9.2;22.8;16.0;8.6;16.7;2.5;4.5;18.6;-3.5;1.3;106.5;103.0;3.5;182.5;15.3
;81.;Mike Smith;PORT;.588;.475;167.6;2.2;5.2;3.6;27.3;14.8;0.8;0.0;25.5;0.9;1.5;112.0;132.8;-20.8;99.4;15.3
;82.;Jamuni McNeace;CHO;.632;.653;108.2;10.7;16.1;13.4;6.8;17.2;0.6;3.6;19.9;-5.2;1.4;110.1;108.4;1.7;134.6;15.1
;83.;Deandre Gholston;CHO;.543;.462;153.0;3.2;8.3;5.7;17.7;14.1;3.0;0.5;25.7;-1.7;1.3;106.7;113.2;-6.5;60.8;15.0
;84.;Kamarion Williams;BBD;.515;.475;141.0;9.8;19.6;14.9;13.3;11.6;1.7;1.0;24.8;-1.7;1.1;106.1;111.8;-5.7;112.8;14.9
;85.;Ismael Bako;PAR;.729;.680;145.8;19.1;19.4;19.2;2.3;29.8;1.2;4.8;15.8;-9.7;1.9;115.1;102.5;12.6;38.0;14.9
;86.;Phlandrous Fleming, Jr.;NAN;.523;.496;142.4;4.2;11.9;8.0;28.7;18.0;2.8;2.1;22.5;2.0;1.2;105.9;113.3;-7.4;193.4;14.8
;87.;Aundre Hyatt;NAN;.660;.648;197.1;4.3;8.1;6.2;3.2;6.7;1.3;0.6;16.2;-1.2;1.4;128.1;118.7;9.5;41.6;14.7
;88.;Justyn Mutts;CHA;.606;.578;147.2;9.8;15.6;12.7;13.5;15.8;2.1;2.4;15.3;-0.1;1.4;118.0;108.1;9.9;196.4;14.6
;89.;Neftali Difuidi;SQB;.527;.489;146.0;5.8;18.1;11.5;14.0;15.3;3.1;0.4;26.5;-4.1;1.2;100.4;111.0;-10.7;143.1;14.5
;90.;Michael Stockton;DIJ;.558;.510;158.6;5.9;9.7;7.8;29.3;19.6;3.0;0.0;21.7;3.8;1.3;111.1;113.8;-2.8;48.6;14.5
;91.;Quentin Losser;DIJ;.645;.586;138.3;7.0;20.8;14.0;11.0;20.2;1.5;0.9;22.1;-5.2;1.6;110.1;116.3;-6.2;105.1;14.5
;92.;Ousman Krubally;BBD;.565;.509;138.0;11.9;21.7;16.9;11.9;18.6;1.4;1.9;21.5;-4.3;1.5;107.6;112.2;-4.7;181.9;14.4
;93.;William McDowell-White;JLB;.607;.564;170.3;3.4;10.8;7.1;39.5;26.5;2.5;0.7;15.4;7.1;1.3;120.1;108.3;11.8;110.6;14.3
;94.;Jeremiah Hill;CHA;.501;.460;154.2;3.7;14.3;9.1;35.2;18.4;3.0;0.4;29.2;0.3;1.1;98.4;106.9;-8.5;203.9;14.3
;95.;Vafessa Fofana;GRV;.530;.515;129.8;5.0;13.9;9.2;17.3;13.6;2.2;1.0;20.2;0.6;1.2;105.7;124.9;-19.2;82.3;14.3
;96.;Tajuan Agee;GRV;.521;.375;112.5;4.2;26.9;14.1;0.0;14.8;4.1;0.0;24.9;-7.9;1.5;96.6;127.4;-30.8;6.3;14.2
;97.;Jeremy Morgan;PAR;.643;.619;187.6;4.0;6.8;5.4;15.4;9.6;2.2;0.0;13.9;3.9;1.3;144.0;108.5;35.5;62.4;14.1
;98.;Ben Gregg;STR;.588;.564;154.4;5.9;12.4;9.0;9.5;14.2;2.7;3.6;15.1;-0.7;1.3;118.4;110.6;7.7;132.1;14.1
;99.;Zac Seljaas;LYV;.612;.580;172.4;7.1;12.8;10.1;5.3;7.9;1.6;0.7;15.5;-0.4;1.3;128.0;109.6;18.4;113.1;14.1
;100.;Nate Darling;CHA;.541;.510;148.3;4.1;13.4;8.8;18.0;13.0;0.9;0.4;28.7;-2.0;1.2;104.6;113.6;-9.0;80.5;14.1
